Организация,Номер пункта договора,Содержание пункта договора
"ООО ""Умный ритейл""",7.2.,"7.2. Пользователь вправе отказаться от заказанного Товара надлежащего качества в любое время до его передачи, а после передачи Товара - в течение 7 дней, при условии возмещения Продавцу необходимых расходов на доставку от Пользователя возвращаемого товара. Возврат Товара надлежащего качества возможен в случае, если сохранены его товарный вид (в том числе не нарушена упаковка Товара), потребительские свойства, а также документ, подтверждающий факт и условия покупки указанного Товара. Отсутствие у Пользователя документа, подтверждающего факт и условия покупки Товара, не лишает его возможности ссылаться на другие доказательства приобретения Товара у Продавца. Отказ от лекарственных препаратов надлежащего качества после оплаты заказа не допускается."
"ООО ""Умный ритейл""",7.3.,"7.3. Возврат Товара, Продавцом которого является ООО «Умный ритейл», осуществляется посредством вызова представителя ООО «Умный ритейл» по указанному Пользователем адресу в пределах территории доставки либо доставки Товара пользователем по адресу, указанному ООО «Умный ритейл». Вызов может быть осуществлен по электронной почте support@samokat.ru. Пользователь вправе самостоятельно вернуть Товар в ЦФЗ, в котором был получен заказ."
"ООО ""Умный ритейл""",7.4.,"7.4. Заявления, в том числе претензии в отношении Товаров, Продавцом которых является ООО «Умный ритейл», принимаются по адресу электронной почты support@samokat.ru или заказным письмом по адресу: 192019, город Санкт-Петербург, улица Седова, дом 11, Литер А, этаж 6, помещение 627. В случае направления претензии по электронной почте Пользователь тем самым дает согласие на получение ответа на такую претензию также в электронном виде."
"ООО ""Умный ритейл""",7.5.,"7.5. Пользователь не вправе отказаться от Товара надлежащего качества, имеющего индивидуально-определенные свойства, если указанный Товар может быть использован исключительно приобретающим его Пользователем."
"ООО ""Умный ритейл""",7.6.,"7.6. Пользователь, которому продан Товар ненадлежащего качества, если это не было оговорено Продавцом, вправе по своему выбору потребовать:"
"ООО ""Умный ритейл""",7.6.1.,7.6.1. безвозмездного устранения недостатков Товара или возмещения расходов на их исправление Пользователем или третьим лицом;
"ООО ""Умный ритейл""",7.6.2.,7.6.2. соразмерного уменьшения покупной цены;
"ООО ""Умный ритейл""",7.6.3.,"7.6.3. замены на Товар аналогичной марки (модели, артикула) или на такой же Товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены. При этом в отношении технически сложных и дорогостоящих товаров эти требования Пользователя подлежат удовлетворению в случае обнаружения существенных недостатков."
"ООО ""Умный ритейл""",7.7.,7.7. Пользователь вместо предъявления указанных требований вправе отказаться от исполнения Заказа и потребовать возврата уплаченной за Товар суммы.
"ООО ""Умный ритейл""",7.8.,"7.8. Возврат денежных средств, уплаченных за технически сложные товары, по истечении 15 дней со дня передачи Товара осуществляется в случае обнаружения существенного недостатка Товара, либо нарушения сроков устранения недостатков Товара, установленных законодательством, либо при невозможности использования Товара в течение каждого года гарантийного срока в совокупности более чем 30 дней вследствие неоднократного устранения его различных недостатков."
"ООО ""Умный ритейл""",7.9.,"7.9. Для возврата Товара и возврата денежных средств, уплаченных за Товар, Пользователю необходимо направить соответствующее требование по адресу электронной почты support@samokat.ru. Пользователь должен аккуратно упаковать Товар (со всеми комплектующими и полным комплектом аксессуаров) и сообщить ООО «Умный ритейл» по указанному адресу электронной почты о готовности Товара к возврату, месте и времени передачи Товара представителю ООО ""Умный ритейл"". Место и время передачи Товара должно быть согласовано Пользователем с ООО «Умный ритейл». В случае, если денежные средства в оплату за Товар были перечислены непосредственно Продавцу Товара, которым не являлось ООО «Умный ритейл», вопросы, связанные с возвратом Товара и денежных средств, уплаченных за Товар, разрешаются непосредственно Продавцом, ООО «Умный ритейл» оказывает Пользователям информационную поддержку по вопросам направления Продавцу претензий и иных требований, связанных с приобретением Товара."
"ООО ""Умный ритейл""",7.10.,7.10. Возврат денежных средств будет осуществлен на банковскую карту в течение 110 (ста десяти) дней со дня получения Продавцом требования Пользователя о возврате денежных средств.
"ООО ""Умный ритейл""",7.11.,"7.11. Для возврата денежных средств по операциям, проведенными с ошибками, Пользователь должен обратиться с соответствующим требованием по адресу электронной почты support@samokat.ru. Для подтверждения возврата ООО «Умный ритейл» вправе запросить у Пользователя справку банка о совершенном платеже."
"ООО ""Умный ритейл""",7.12.,7.12. Срок рассмотрения требования о возврате денежных средств начинает исчисляться с момента получения Продавцом такого требования.
"ООО ""Умный ритейл""",#N/A,
"ООО ""Умный ритейл""",8.,8. Конфиденциальность
"ООО ""Умный ритейл""",8.1.,"8.1. При использовании Интернет-магазина Продавцу и ООО «Умный ритейл» становятся известными персональные данные Пользователей и Получателей. К таким персональным данным могут относиться, включая, но не ограничиваясь, фамилия, имя, отчество, дата рождения, адрес доставки, домашний или мобильный телефон, адрес электронной почты, любые иные данные, которые Пользователь сообщил при использовании Сервиса.
Помимо вышеуказанного, Продавец и ООО «Умный ритейл» также обрабатывает следующую информацию:
· информация об использовании Пользователем Интернет-магазина, в том числе история совершенных заказов, предпочтения Пользователя, идентификаторы платежных средств, а также дополнительная информация, которая может понадобиться при обращении Пользователя с претензиями и обращениями;
· информация о наличии у Пользователя подписок на сервисы Партнеров, о наличии учетных записей в сервисах Партнеров и их технические идентификаторы, о совершаемых Пользователем действиях и активности в иных сервисах.
ООО «Умный ритейл» также может получать перечисленные выше данные от Партнеров, оказывающих ООО «Умный ритейл» информационные и аналитические услуги для улучшения Интернет-магазина и предоставляемых Пользователю возможностей."
"ООО ""Умный ритейл""",8.2.,"8.2. Продавец и ООО «Умный ритейл» обрабатывает персональные данные в следующих целях:
· исполнение настоящих Условий, оформление и исполнение Заказов, совершаемых через Интернет-магазин, включая, например, обеспечение возможности оформления, оплаты и доставки Заказов;
· сопровождение транзакций и обработка платежей;
· соблюдение требований законодательства Российской Федерации о бухгалтерском и налоговом учете;
· обработка претензий Пользователей и исполнение иных требований Закона РФ от 07.02.1992 N 2300-1 ""О защите прав потребителей"", предоставление компенсаций и комплиментов;
· управление учетной записью в Сервисе;
· обеспечение работы функций Сервиса, в том числе с использованием информационных систем;
· противодействие мошенничеству;
· контроль скидок и иных дополнительных возможностей (бонусов, кэшбэка), предоставляемых Пользователю в Интернет-магазине и сервисах Партнеров;
· персонализация цен, скидок и предложений;
· аналитика Сервиса, предпочтений и интересов Пользователей;
· реклама и маркетинг, включая рекламные рассылки, таргетинг, проведение опросов и исследований."
"ООО ""Умный ритейл""",8.3.,"8.3. Обработка персональных данных осуществляется Продавцом и ООО «Умный ритейл», а также иными третьими лицами, которые привлекаются ООО «Умный ритейл» к обработке, или которым передаются персональные данные в указанных целях в соответствии с законодательством Российской Федерации. К числу подобных третьих лиц, в частности, могут относиться:
· ООО «Умное пространство» (ОГРН 1137847232852, адрес: 192019, Санкт-Петербург, улица Седова, дом 11, литера А);
· курьеры и компании, оказывающие услуги по доставке товаров, заказываемых через Интернет-магазин;
· контрагенты Продавца, включая компании, оказывающие услуги предоставления и обеспечения функционирования используемых в ООО «Умный ритейл» (аффилированных с ним лицах)  информационных систем, услуги колл-центров;
· Партнеры Продавца;
· государственные/муниципальные органы власти в случаях, установленных законодательством Российской Федерации.
Продавец и ООО «Умный ритейл» имеет право привлекать третьих лиц к обработке полученных персональных данных и/или передавать им полученные данные, а также получать от них данные в указанных целях без дополнительного согласия при условии обеспечения указанными третьими лицами конфиденциальности и безопасности персональных данных при обработке."
"ООО ""Умный ритейл""",8.4.,"8.4. В случае участия Пользователя в Программе лояльности данные Пользователя передаются третьим лицам, оказывающим ООО «Умный ритейл» (аффилированным с ним лицам) в том числе, но не ограничиваясь, информационные и аналитические услуги для улучшения функционала Сервиса, проведения совместных акций и иных маркетинговых мероприятий. Перечень таких лиц указан по ссылке: https://samokat.ru/static/legal/list_of_third-party_services_samokat.html.
Состав передаваемых персональные данных: номер мобильного телефона, адрес электронной почты (в случае согласия Пользователя на получение рекламных и информационных рассылок от третьих лиц), идентификаторы Пользователя в Сервисе, информация о совершенном Пользователем Заказе в Сервисе, в том числе, но не ограничиваясь, номер, дата, время формирования Заказа, сумма и состав Заказа, информация о применении скидок к Заказу и срок его исполнения, информация об обращениях Пользователя (включая претензионные), иная информация, в том числе любая фискальная информация по Заказу.
Указанные данные Пользователя передаются Партнерам в следующих целях:
· аутентификация и автоматическое заполнение данных о Пользователе в регистрационной форме, размещенной в Сервисе, предназначенной для регистрации Пользователя в Программе лояльности;
· организации предоставления Пользователю поощрений, рассмотрения претензионных обращений Пользователя в рамках акций, проводимых ООО «Умный ритейл» на базе Программы лояльности;
· отображения в Сервисе информации о балансе бонусного счета Пользователя в Программе лояльности."
"ООО ""Умный ритейл""",8.5.,"8.5. Продавец и ООО «Умный ритейл» вправе в указанных целях вносить персональные данные в информационные системы, хранить и обрабатывать любыми не противоречащими законодательству способами в течение срока действия правоотношений с Пользователем, а также срока, установленного действующим законодательством РФ (в частности, в течение 5 лет для соблюдения требований бухгалтерского и налогового учета). По достижению целей обработки или в случае утраты необходимости в достижении этих целей, если иное не предусмотрено законодательством, либо иное отдельно не согласовано сторонами, обрабатываемые персональные данные подлежат уничтожению."
"ООО ""Умный ритейл""",8.6.,"8.6. Продавец и ООО «Умный ритейл» обязуются принимать необходимые правовые, организационные и технические меры для защиты получаемых персональных данных от неправомерного или случайного доступа к ним, уничтожения, изменения, блокирования, копирования, представления, распространения персональных данных, иных неправомерных действий в отношении персональных данных, и соблюдать принципы и правила обработки персональных данных, предусмотренные Федеральным законом от 27.07.2006 № 152-ФЗ «О персональных данных» и иными соответствующими нормативными актами."
"ООО ""Умный ритейл""",8.7.,"8.7. Более подробная информация о категориях персональных данных Пользователя, которые обрабатывает ООО «Умный ритейл», о целях, сроках и правовых основаниях обработки, а также о способах обработки и уничтожения персональных данных и третьих лицах, которых ООО «Умный ритейл» привлекает к обработке персональных данных, или которым передаются персональные данные, принимаемых мерах безопасности персональных данных и соответствия законодательству, а также о информация возможности реализации прав субъекта персональных данных отражена в Политике конфиденциальности ООО «Умный ритейл», которая размещена на сайте samokat.ru."
"ООО ""Умный ритейл""",#N/A,
"ООО ""Умный ритейл""",9.,9. Форс-мажор
"ООО ""Умный ритейл""",9.1.,"9.1. ООО «Умный ритейл» и Продавец освобождаются от ответственности за полное или частичное неисполнение своих обязательств в соответствии с настоящими Условиями, если это неисполнение было вызвано обстоятельствами непреодолимой силы, возникшими после принятия Пользователем настоящих Условий. Под обстоятельствами непреодолимой силы понимаются чрезвычайные события или обстоятельства, которые нельзя было предвидеть или предотвратить доступными средствами. Такие чрезвычайные события или обстоятельства включают в себя, в частности: забастовки, наводнения, пожары, землетрясения и иные стихийные бедствия, войны, военные действия, действия российских или иностранных государственных органов, а также любые иные обстоятельства, выходящие за пределы разумного контроля."
"ООО ""Умный ритейл""",#N/A,
"ООО ""Умный ритейл""",10.,10. Заключительные положения
"ООО ""Умный ритейл""",10.1.,"10.1. Настоящие Условия продажи товаров регулируются и толкуются в соответствии с законодательством Российской Федерации. Вопросы, не урегулированные Условиями продажи Товаров, подлежат разрешению в соответствии с законодательством Российской Федерации."
"ООО ""Умный ритейл""",10.2.,"10.2. Настоящие Условия продажи товаров, включая любые опубликованные изменения к нему, вступают в силу для Пользователя с момента их акцепта Пользователем и действует в течение всего периода использования Пользователем Интернет-магазина, а также 5 лет с момента последней авторизации в Сервисе."
"ООО ""Умный ритейл""",10.3.,10.3. По всем вопросам и претензиям Пользователи могут обращаться по адресу электронной почты support@samokat.ru.
"АО ""Мэлон Фешн груп""",1.,"1. ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ
Термины и определения, используемые в настоящих Условиях продажи товаров в интернет-магазине (далее – Условия):"
"АО ""Мэлон Фешн груп""",1.1.,"1.1. Интернет-магазин – Сайт и мобильное приложение Продавца, на котором размещен каталог Товаров, предлагаемых для продажи Покупателям дистанционным способом посредством оформления Заказов, а также указаны условия оплаты и доставки таких Заказов и иная обязательная информация, требования о предоставлении которой Покупателю установлены действующим законодательством."
"АО ""Мэлон Фешн груп""",1.2.,1.2. Сайт Продавца (Сайт): befree.ru
"АО ""Мэлон Фешн груп""",1.3.,"1.3. Продавец: АО «Мэлон Фэшн Груп», ОГРН 1057813298553, ИНН 7839326623, КПП 783450001, место нахождения: 190103, г. Санкт - Петербург, 10-я Красноармейская, дом 22, литер А, пом. 1-Н., 6 этаж."
"АО ""Мэлон Фешн груп""",1.4.,"1.4. Покупатель – полностью дееспособное физическое лицо, зарегистрированное на Сайте Продавца с намерением заказать / приобрести Товары, либо указанное в качестве Получателя Товара, либо оплачивающее и/или использующее Товары, приобретенные на Сайте Продавца, исключительно для личных, семейных, домашних и иных нужд, не связанных с осуществлением предпринимательской деятельности."
"АО ""Мэлон Фешн груп""",1.5.,"1.5. Получатель – Покупатель или третье лицо, действующее по поручению Покупателя при получении Товара, которому Покупатель сообщил номер Заказа."
"АО ""Мэлон Фешн груп""",1.6.,"1.6. Товар – изъятые из оборота вещи определенного рода и качества,не предназначенные для розничной купли-продажи, ассортимент которых представлен на Сайте Продавца."
"АО ""Мэлон Фешн груп""",1.7.,"1.7. Заказ – должным образом оформленный запрос Покупателя на покупку и доставку Товара, представленного на Сайте Продавца."
"АО ""Мэлон Фешн груп""",1.8.,"1.8. Акция – адресованное Покупателям предложение о приобретении Товара на определенных условиях (по определенной стоимости / с определенной скидкой, в течение ограниченного периода времени и в установленном ассортименте), опубликованное на Сайте Продавца."
"АО ""Мэлон Фешн груп""",1.9.,"1.9. Служба доставки – третье лицо, оказывающее по договору с Продавцом услуги по доставке Заказов Покупателю и при необходимости принимающее оплату за Товар в пользу Продавца."
"АО ""Мэлон Фешн груп""",1.10.,"1.10. Материалы – объекты авторского права, включая, но, не ограничиваясь, иллюстрации, рисунки, фотографические произведения и иные произведения, полученные способами аналогичными фотографии, запечатленные и воспроизводимые как на традиционных, так и на электронных и иных носителях, права на которые принадлежат пользователю и размещенные им на Сайте, в т.ч. размещенные пользователем в принадлежащем ему аккаунте социальной сети Instagram и/или Вконтакте с хэштегом #befree и/или #befree_commuity и/или #befreecommuity и/или #бифрикоммьюнити и/или #бифри_коммьюнити и/или #всегдамоднобытьсвободным, либо с упоминанием названия аккаунта @befree_community и/или @befree_fashion и/или @befree_fashion. А также самостоятельно загруженные пользователем на сайт befree.ru с помощью кнопки “ добавить свой образ”."
"АО ""Мэлон Фешн груп""",1.11.,"1.11. Изображения – изображения людей (в том числе их фотографии или произведения изобразительного искусства, в которых они изображены) так как они понимаются в смысле ст. 152.1 ГК РФ, размещенные пользователем на Сайте, в т.ч. размещенные Пользователем в принадлежащем ему аккаунте социальной сети Instagram и/или Вконтакте с хэштегом #befree и/или и/или #befree_commuity и/или #befreecommuity и/или #бифрикоммьюнити и/или #бифри_коммьюнити и/или #всегдамоднобытьсвободным, либо с упоминанием названия аккаунта @befree_community и/или @befree_fashion и/или @befree_fashion. А также самостоятельно загруженные пользователем на сайт befree.ru с помощью кнопки “добавить свой образ”."
"АО ""Мэлон Фешн груп""",#N/A,
"АО ""Мэлон Фешн груп""",2.,2. ОБЩИЕ ПОЛОЖЕНИЯ
"АО ""Мэлон Фешн груп""",2.1.,"2.1. Настоящие Условия продажи товаров и использования интернет-магазина, под которыми понимается совокупность условий, изложенных ниже, а также условий, размещенных на страницах Сайта Продавца, регулируют взаимоотношения между Продавцом и Покупателем и определяют порядок розничной купли-продажи Товара через Интернет-магазин."
"АО ""Мэлон Фешн груп""",2.2.,"2.2. В случае внесения изменений в настоящие Условия Продавец \размещает актуальную редакцию Условий на Сайте, без предварительного уведомления Клиента. Указанные изменения вступают в силу с даты размещения на Сайте новой редакции Условий. Покупатель вправе регулярно и/или при оформлении каждого нового Заказа знакомиться с действующей редакцией Условий на Сайте."
"АО ""Мэлон Фешн груп""",2.3.,"2.3. К отношениям между Покупателем и Продавцом применяются положения ГК РФ о розничной купле-продаже (§ 2 глава 30 ГК РФ), Правила продажи товаров дистанционным способом, утвержденные Постановлением Правительства РФ от 27.09.2007 г. № 612, Закон РФ «О защите прав потребителей» от 07.02.1992 г. № 2300-1 и иные правовые акты, принятые в соответствии с ними."
"АО ""Мэлон Фешн груп""",2.4.,"2.4. Покупатель соглашается с настоящими Условиями (с учетом периодически вносимых в них изменений, а также условий Акций, которые размещаются на Сайте Продавца):
при регистрации на Сайте – нажимая на кнопку «Зарегистрироваться»;
при оформлении Заказа – нажимая на кнопку «Оформить Заказ»."
"АО ""Мэлон Фешн груп""",2.5.,2.5. Продавец самостоятельно определяет цену представленного на Сайте Товара. Цена Товара указана в рублях РФ и включает в себя НДС по применимой ставке согласно действующему законодательству.
"АО ""Мэлон Фешн груп""",2.6.,"2.6. Все Товары, размещенные на Сайте Продавца, имеют необходимые декларации / сертификаты для их реализации в соответствии с действующим законодательством РФ."
"АО ""Мэлон Фешн груп""",2.7.,2.7. Местом продажи Товара является территория Российской Федерации.
"АО ""Мэлон Фешн груп""",#N/A,
"АО ""Мэлон Фешн груп""",3.,3. РЕГИСТРАЦИЯ НА САЙТЕ
"АО ""Мэлон Фешн груп""",3.1.,"3.1. Для оформления Заказа Покупатель может предварительно зарегистрироваться на Сайте, заполнив регистрационную форму. Регистрация на Сайте осуществляется также автоматически в результате оформления Заказа."
"АО ""Мэлон Фешн груп""",3.2.,"3.2. Продавец не несет ответственности за точность и правильность информации, предоставляемой Покупателем при регистрации на Сайте и (или) при оформлении Заказа. Продавец не несет ответственности за неисполнение обязательств по причине сообщения Покупателем недостоверных сведений о себе."
"АО ""Мэлон Фешн груп""",3.3.,"3.3. Покупатель обязуется не сообщать третьим лицам логин и пароль, указанные им при регистрации на Сайте либо полученные им от Продавца в результате автоматической регистрации. В случае возникновения у Покупателя подозрений относительно безопасности его логина и пароля или возможности их несанкционированного использования третьими лицами Покупателю следует незамедлительно уведомить об этом Продавца с использованием контактных данных, указанных на Сайте."
"АО ""Мэлон Фешн груп""",#N/A,
"АО ""Мэлон Фешн груп""",4.,4. ОФОРМЛЕНИЕ ЗАКАЗА
"АО ""Мэлон Фешн груп""",4.1.,4.1. Заказ оформляется Покупателем путем добавления Товара(ов) в Корзину и заполнения необходимой информации в разделе Сайта «Оформить Заказ».
"АО ""Мэлон Фешн груп""",4.2.,"4.2. После завершения оформления Заказа Продавец может уточнить данные Заказа, связавшись с Покупателем по указанному им номеру телефона."
"АО ""Мэлон Фешн груп""",4.3.,4.3. После обработки Заказа Продавец направляет Покупателю уведомление о подтверждении Заказа.
"АО ""Мэлон Фешн груп""",4.4.,"4.4. Если Заказ не может быть подтвержден Продавцом на предложенных Покупателем условиях, в том числе если на складе у Продавца отсутствует необходимое количество заказанного Товара, Продавец информирует об этом Покупателя по указанному им номеру телефона. Покупатель может согласиться принять Товар на условиях Продавца (например, в количестве, имеющемся в наличии у Продавца), изменить Заказ и заменить Товар на аналогичный, либо аннулировать данную позицию Товара в составе Заказа. В случае неполучения ответа от Покупателя в течение 3 (трех) календарных дней с момента уведомления Продавец вправе аннулировать Заказ полностью или частично путем направления сообщения по адресу электронной почты Покупателя, указанному при регистрации."
"АО ""Мэлон Фешн груп""",4.5.,"4.5. В случае полного либо частичного аннулирования предварительно оплаченного Заказа стоимость аннулированных позиций Товара возвращается Продавцом Покупателю на расчетный счет, с которого произведена оплата, в порядке, предусмотренном разделом 7 настоящих Условий."
"АО ""Мэлон Фешн груп""",4.6.,4.6. Продавец вправе в одностороннем порядке установить максимальное количество товарных позиций в одном Заказе и максимальную стоимость одного Заказа.
"АО ""Мэлон Фешн груп""",#N/A,
"АО ""Мэлон Фешн груп""",5.,5. ДОСТАВКА ТОВАРА
"АО ""Мэлон Фешн груп""",5.1.,5.1. Доставка Товара по территории Российской Федерации осуществляется привлеченной Продавцом Службой доставки. Способы доставки указаны на Сайте в разделе «Доставка и оплата». Доступные способы доставки зависят от места нахождения Покупателя (адреса доставки).
"АО ""Мэлон Фешн груп""",5.2.,5.2. Выбор Покупателем соответствующего способа доставки означает согласие Покупателя на доставку Товара на условиях и по стоимости Службы доставки.
"АО ""Мэлон Фешн груп""",5.3.,"5.3. В случае указания Покупателем некорректного адреса доставки либо иных контактных данных, не позволяющих доставить Заказ, повторные действия по доставке Заказа производятся с отнесением соответствующих дополнительных расходов на Покупателя."
"АО ""Мэлон Фешн груп""",5.4.,"5.4. При доставке Заказ вручается Покупателю либо Получателю Заказа. В случае если лицо, находящееся по адресу доставки / прибывшее в пункт доставки, называет представителю Службы доставки номер Заказа, это расценивается Продавцом как передача такому лицу (Получателю) всех полномочий Покупателя по получению Заказа и его оплате (если применимо)."
"АО ""Мэлон Фешн груп""",5.5.,"5.5. Вместе с товаром Покупателю выдается товарная накладная, если Заказ был оплачен банковской картой на Сайте Продавца, либо товарная накладная и кассовый чек, если оплата Товара производится в момент доставки. Одновременно с передачей товара Покупателю передается вся необходимая информация о Товаре, порядке и сроках его возврата."
"АО ""Мэлон Фешн груп""",5.6.,"5.6. При передаче Заказа Покупатель обязан в присутствии представителя Службы доставки осмотреть целостность индивидуальной упаковки и наличие внешних повреждений на ней. Убедившись в сохранности упаковки и в отсутствии на ней следов внешних повреждений, открыть индивидуальную упаковку и проверить наличие в ней Товара(ов). Убедившись в наличии заказанного Товара(ов) и отсутствии на нем следов механических и иных повреждений, сверить артикул и размер получаемого Товара(ов) с артикулом и размером, проставленными в сопроводительном документе (товарной накладной), проверить комплектацию и цвет Товара(ов) и расписаться в накладной. Факт проставления подписи в товарной накладной свидетельствует о том, что Покупатель принял Товар, претензий к внешнему виду, комплектации и стоимости Товара(ов) в Заказе не имеет."
